gCSD16_DEN_10	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
gCSD16_NYC_16	NA	NODE_20510_length_745_cov_1.911594	3	743	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	PARTIAL_CONTIG_ENDX	247	487	50.72	94.33	247	WP_000420317.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
gCSD16_NYC_16	NA	NODE_2086_length_1905_cov_5.396757	1108	1839	-	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	244	244	100.00	100.00	244	WP_001003263.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD16_NYC_16	NA	NODE_2153222_length_224_cov_1.485207	3	224	+	qacJ	quaternary ammonium compound efflux SMR transporter QacJ	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	74	107	69.16	90.54	74	WP_011100750.1	quaternary ammonium compound efflux SMR transporter QacJ	NA	NA
gCSD16_NYC_16	NA	NODE_2184771_length_223_cov_3.035714	3	221	-	qacE	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	73	115	63.48	100.00	73	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
gCSD16_NYC_16	NA	NODE_23659_length_709_cov_1.640673	2	709	-	cmx	chloramphenicol efflux MFS transporter Cmx	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	PARTIAL_CONTIG_ENDX	236	391	60.36	97.03	236	WP_005297378.1	chloramphenicol efflux MFS transporter Cmx	NA	NA
gCSD16_NYC_16	NA	NODE_2411_length_1778_cov_5.083575	451	1776	+	tet(K)	tetracycline efflux MFS transporter Tet(K)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	442	459	96.30	100.00	442	WP_000492283.1	tetracycline efflux MFS transporter Tet(K)	NA	NA
gCSD16_NYC_16	NA	NODE_24181_length_703_cov_5.228395	1	525	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	175	267	65.54	99.43	175	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
gCSD16_NYC_16	NA	NODE_2486_length_1751_cov_3.639151	1	837	-	vga(A)	ABC-F type ribosomal protection protein Vga(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	PARTIAL_CONTIG_ENDX	279	522	53.45	98.92	279	WP_002449123.1	ABC-F type ribosomal protection protein Vga(A)-LC	NA	NA
gCSD16_NYC_16	NA	NODE_2526_length_1737_cov_5.375149	3	491	-	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	PARTIAL_CONTIG_ENDX	163	271	60.15	100.00	163	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
gCSD16_NYC_16	NA	NODE_28682_length_664_cov_1.909688	3	539	-	blaOXA	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	179	276	64.86	97.77	179	WP_231869616.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-991	NA	NA
gCSD16_NYC_16	NA	NODE_3227_length_1546_cov_2.850436	166	543	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.00	99.21	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD16_NYC_16	NA	NODE_3227_length_1546_cov_2.850436	536	1546	-	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	337	585	57.61	95.55	337	WP_001096386.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
gCSD16_NYC_16	NA	NODE_33918_length_629_cov_2.770035	2	502	+	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	167	281	59.43	99.40	167	WP_000733274.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
gCSD16_NYC_16	NA	NODE_34804_length_624_cov_2.968366	1	624	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	208	278	74.82	99.04	208	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
gCSD16_NYC_16	NA	NODE_348506_length_333_cov_5.906475	3	278	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	92	107	85.98	100.00	92	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_NYC_16	NA	NODE_41768_length_590_cov_2.213084	158	589	-	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	144	263	54.75	100.00	144	WP_058664416.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
gCSD16_NYC_16	NA	NODE_59056_length_532_cov_2.974843	92	532	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	PARTIAL_CONTIG_ENDX	147	271	54.24	100.00	147	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
gCSD16_NYC_16	NA	NODE_6298_length_1159_cov_3.760870	435	1157	-	tet(39)	tetracycline efflux MFS transporter Tet(39)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDX	241	395	61.01	100.00	241	WP_004856455.1	tetracycline efflux MFS transporter Tet(39)	NA	NA
gCSD16_NYC_16	NA	NODE_6616_length_1138_cov_3.341644	3	998	-	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	332	585	56.75	99.70	332	WP_001096386.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
gCSD16_NYC_16	NA	NODE_66587_length_514_cov_2.782135	22	513	+	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	164	281	58.36	98.17	164	WP_000733274.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
gCSD16_NYC_16	NA	NODE_696_length_3881_cov_8.211709	993	2534	-	qacA	quaternary ammonium compound efflux MFS transporter QacA	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	514	514	100.00	99.61	514	WP_000622776.1	quaternary ammonium compound efflux MFS transporter QacA	NA	NA
gCSD16_NYC_16	NA	NODE_8005_length_1057_cov_3.825349	2	628	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	PARTIAL_CONTIG_ENDX	209	405	51.60	99.52	209	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
gCSD16_NYC_16	NA	NODE_8120_length_1051_cov_5.995984	514	996	+	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTX	161	161	100.00	100.00	161	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)	NA	NA
gCSD16_NYC_16	NA	NODE_963_length_3050_cov_4.648748	219	1070	-	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	284	284	100.00	98.94	284	WP_011117480.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD16_NYC_16	NA	NODE_9703_length_983_cov_3.140086	297	983	+	blaRTG	RTG family carbenicillin-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	229	298	76.85	100.00	229	WP_015589625.1	RTG family carbenicillin-hydrolyzing class A beta-lactamase CARB-16	NA	NA
gCSD16_NYC_17	NA	NODE_11987_length_668_cov_4.236542	56	538	-	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTX	161	161	100.00	99.38	161	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)	NA	NA
gCSD16_NYC_17	NA	NODE_1354_length_1670_cov_3.639009	1	1587	-	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	529	585	90.43	98.49	529	WP_001096386.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
gCSD16_NYC_17	NA	NODE_1686_length_1481_cov_3.493689	886	1263	-	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.00	99.21	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD16_NYC_17	NA	NODE_1798_length_1431_cov_10.778343	417	692	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIALX	92	107	85.98	100.00	92	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_NYC_17	NA	NODE_186256_length_325_cov_1.718519	3	323	+	lnu(C)	lincosamide nucleotidyltransferase Lnu(C)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	PARTIAL_CONTIG_ENDX	107	164	65.24	97.20	107	WP_063851341.1	lincosamide nucleotidyltransferase Lnu(C)	NA	NA
gCSD16_NYC_17	NA	NODE_1871971_length_209_cov_1.129870	1	180	+	qacE	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIAL_CONTIG_ENDX	60	115	52.17	95.00	60	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
gCSD16_NYC_17	NA	NODE_2032_length_1345_cov_2.912403	366	1049	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	PARTIALX	228	271	84.13	99.12	228	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
gCSD16_NYC_17	NA	NODE_2258_length_1282_cov_2.941320	1	783	+	tet(K)	tetracycline efflux MFS transporter Tet(K)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDX	261	459	56.86	100.00	261	WP_000492283.1	tetracycline efflux MFS transporter Tet(K)	NA	NA
gCSD16_NYC_17	NA	NODE_27137_length_524_cov_1.869936	2	523	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	174	267	65.17	100.00	174	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
gCSD16_NYC_17	NA	NODE_279_length_4126_cov_7.568902	1305	2846	+	qacA	quaternary ammonium compound efflux MFS transporter QacA	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	514	514	100.00	99.81	514	WP_000622776.1	quaternary ammonium compound efflux MFS transporter QacA	NA	NA
gCSD16_NYC_17	NA	NODE_3133_length_1115_cov_2.600000	200	1033	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
gCSD16_NYC_17	NA	NODE_344_length_3675_cov_5.905525	1983	2879	+	mph(C)	Mph(C) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	299	299	100.00	100.00	299	WP_000196697.1	Mph(C) family macrolide 2'-phosphotransferase	NA	NA
gCSD16_NYC_17	NA	NODE_344_length_3675_cov_5.905525	418	1881	+	msr(A)	ABC-F type ribosomal protection protein Msr(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	488	488	100.00	99.59	488	WP_000438874.1	ABC-F type ribosomal protection protein Msr(A)	NA	NA
gCSD16_NYC_17	NA	NODE_44191_length_461_cov_2.837438	2	460	-	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	153	281	54.45	98.69	153	WP_000733274.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
gCSD16_NYC_17	NA	NODE_5133_length_908_cov_2.405627	1	705	-	blaRTG	RTG family carbenicillin-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	235	298	78.86	99.57	235	WP_015589625.1	RTG family carbenicillin-hydrolyzing class A beta-lactamase CARB-16	NA	NA
gCSD16_NYC_17	NA	NODE_6300_length_840_cov_3.089172	88	840	-	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	251	284	88.38	97.21	251	WP_063844894.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD16_NYC_17	NA	NODE_643_length_2528_cov_6.675293	344	1075	-	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	244	244	100.00	99.59	244	WP_001003264.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD16_NYC_17	NA	NODE_805_length_2227_cov_4.417127	1276	2226	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	PARTIAL_CONTIG_ENDX	317	405	78.27	100.00	317	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
gCSD16_NYC_17	NA	NODE_805_length_2227_cov_4.417127	2	1153	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	PARTIAL_CONTIG_ENDX	384	487	78.85	100.00	384	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
gCSD16_NYC_17	NA	NODE_806325_length_247_cov_0.843750	1	246	+	fosD	fosfomycin resistance bacillithiol transferase FosD	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	INTERNAL_STOP	82	139	58.99	91.46	82	WP_000616116.1	fosfomycin resistance bacillithiol transferase FosD	NA	NA
gCSD16_NYC_17	NA	NODE_851_length_2156_cov_5.266540	3	1244	+	vga(A)	ABC-F type ribosomal protection protein Vga(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	PARTIAL_CONTIG_ENDX	414	522	79.31	99.76	414	WP_002449123.1	ABC-F type ribosomal protection protein Vga(A)-LC	NA	NA
gCSD16_NYC_18	NA	NODE_105_length_40019_cov_26.739941	37435	38583	-	blaADC-245	extended-spectrum class C beta-lactamase ADC-245	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	383	383	100.00	100.00	383	WP_032005249.1	extended-spectrum class C beta-lactamase ADC-245	NA	NA
gCSD16_NYC_18	NA	NODE_1068_length_4526_cov_11.585999	656	850	+	crpP	ciprofloxacin resistance protein CrpP	core	AMR	AMR	FLUOROQUINOLONE	FLUOROQUINOLONE	BLASTX	65	65	100.00	96.92	65	WP_033179079.1	ciprofloxacin resistance protein CrpP	NA	NA
gCSD16_NYC_18	NA	NODE_10_length_130709_cov_9.427978	7116	7520	+	fosA	FosA family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	135	135	100.00	100.00	135	WP_003082280.1	FosA family fosfomycin resistance glutathione transferase	NA	NA
gCSD16_NYC_18	NA	NODE_11072_length_905_cov_3.137647	1	414	-	fosB	FosB family fosfomycin resistance bacillithiol transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	138	142	97.18	97.10	138	WP_002437790.1	FosB family fosfomycin resistance bacillithiol transferase	NA	NA
gCSD16_NYC_18	NA	NODE_1162_length_4208_cov_6.988683	1367	2908	-	qacA	quaternary ammonium compound efflux MFS transporter QacA	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	514	514	100.00	99.61	514	WP_000622776.1	quaternary ammonium compound efflux MFS transporter QacA	NA	NA
gCSD16_NYC_18	NA	NODE_128_length_35980_cov_9.876214	19236	20021	+	blaOXA-486	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-486	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	262	262	100.00	100.00	262	WP_003161965.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-486	NA	NA
gCSD16_NYC_18	NA	NODE_14672_length_787_cov_1.456284	94	516	-	fosA	FosA/FosA2 family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTX	141	141	100.00	95.04	141	WP_025205684.1	fosfomycin resistance glutathione transferase FosA2	NA	NA
gCSD16_NYC_18	NA	NODE_1473_length_3342_cov_8.876787	1870	2766	+	mph(C)	Mph(C) family macrolide 2'-phosphotransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	299	299	100.00	100.00	299	WP_000196697.1	Mph(C) family macrolide 2'-phosphotransferase	NA	NA
gCSD16_NYC_18	NA	NODE_1473_length_3342_cov_8.876787	305	1768	+	msr(A)	ABC-F type ribosomal protection protein Msr(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTX	488	488	100.00	99.59	488	WP_000438874.1	ABC-F type ribosomal protection protein Msr(A)	NA	NA
gCSD16_NYC_18	NA	NODE_14_length_114546_cov_9.474168	51902	52537	-	catB7	type B-4 chloramphenicol O-acetyltransferase CatB7	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	212	212	100.00	100.00	212	WP_003112709.1	type B-4 chloramphenicol O-acetyltransferase CatB7	NA	NA
gCSD16_NYC_18	NA	NODE_15658_length_761_cov_2.975921	3	458	-	aadD1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	PARTIAL_CONTIG_ENDX	152	256	59.38	100.00	152	WP_001795128.1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	NA	NA
gCSD16_NYC_18	NA	NODE_1603_length_3101_cov_11.279383	2199	2393	-	crpP	ciprofloxacin resistance protein CrpP	core	AMR	AMR	FLUOROQUINOLONE	FLUOROQUINOLONE	BLASTX	65	65	100.00	96.92	65	WP_033179079.1	ciprofloxacin resistance protein CrpP	NA	NA
gCSD16_NYC_18	NA	NODE_1775_length_2865_cov_4.558007	603	2864	+	mupA	mupirocin-resistant isoleucine--tRNA ligase MupA	core	AMR	AMR	MUPIROCIN	MUPIROCIN	PARTIAL_CONTIG_ENDX	754	1024	73.63	100.00	754	WP_000163435.1	mupirocin-resistant isoleucine--tRNA ligase MupA	NA	NA
gCSD16_NYC_18	NA	NODE_17969_length_715_cov_2.457576	1	714	+	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	PARTIAL_CONTIG_ENDX	238	381	62.47	100.00	238	WP_063857727.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-1	NA	NA
gCSD16_NYC_18	NA	NODE_19_length_98696_cov_19.920348	30472	31290	+	blaOXA-506	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-506	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEX	273	273	100.00	100.00	273	WP_032007272.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-506	NA	NA
gCSD16_NYC_18	NA	NODE_2105_length_2518_cov_6.623224	1019	1750	-	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTX	244	244	100.00	100.00	244	WP_001003263.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	NA	NA
gCSD16_NYC_18	NA	NODE_2364_length_2307_cov_7.340586	735	2300	+	vga(A)	ABC-F type ribosomal protection protein Vga(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTX	522	522	100.00	99.62	522	WP_002449123.1	ABC-F type ribosomal protection protein Vga(A)-LC	NA	NA
gCSD16_NYC_18	NA	NODE_23_length_93312_cov_9.727613	23093	24283	-	blaPDC-3	extended-spectrum class C beta-lactamase PDC-3	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	397	397	100.00	100.00	397	WP_003121934.1	extended-spectrum class C beta-lactamase PDC-3	NA	NA
gCSD16_NYC_18	NA	NODE_23_length_93312_cov_9.727613	9928	10731	+	aph(3')-IIb	aminoglycoside O-phosphotransferase APH(3')-IIb	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	BLASTX	268	268	100.00	99.63	268	WP_003113011.1	aminoglycoside O-phosphotransferase APH(3')-IIb	NA	NA
gCSD16_NYC_18	NA	NODE_2598_length_2166_cov_24.277120	1504	1905	-	bleO	bleomycin binding protein	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	BLASTX	134	134	100.00	99.25	134	WP_001242578.1	bleomycin binding protein	NA	NA
gCSD16_NYC_18	NA	NODE_26526_length_605_cov_8.334545	74	556	+	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTX	161	161	100.00	100.00	161	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)	NA	NA
gCSD16_NYC_18	NA	NODE_2679_length_2122_cov_4.639090	778	1992	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	BLASTX	405	405	100.00	99.51	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
gCSD16_NYC_18	NA	NODE_27795_length_594_cov_1.716141	1	483	-	blaOXA	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	161	276	58.33	99.38	161	WP_063862119.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-230	NA	NA
gCSD16_NYC_18	NA	NODE_29079_length_583_cov_5.579545	3	581	-	erm(X)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	core	AMR	AMR	MACROLIDE	MACROLIDE	PARTIAL_CONTIG_ENDX	193	284	67.96	98.96	193	WP_063844894.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X)	NA	NA
gCSD16_NYC_18	NA	NODE_31337_length_566_cov_3.698630	3	293	+	dfrA44	trimethoprim-resistant dihydrofolate reductase DfrA44	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIAL_CONTIG_ENDX	97	176	55.11	90.72	97	WP_204376220.1	trimethoprim-resistant dihydrofolate reductase DfrA44	NA	NA
gCSD16_NYC_18	NA	NODE_33227_length_553_cov_10.712851	178	498	+	qacC	quaternary ammonium compound efflux SMR transporter QacC	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	EXACTX	107	107	100.00	100.00	107	WP_001146389.1	quaternary ammonium compound efflux SMR transporter QacC	NA	NA
gCSD16_NYC_18	NA	NODE_3596_length_1725_cov_3.964671	843	1655	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
gCSD16_NYC_18	NA	NODE_391_length_13071_cov_46.880608	3630	4415	+	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	BLASTX	262	262	100.00	98.47	262	WP_014208115.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	NA	NA
gCSD16_NYC_18	NA	NODE_3924_length_1631_cov_3.693528	730	1167	-	aac(6')-I	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	BLASTX	146	146	100.00	98.63	146	WP_005259042.1	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase	NA	NA
gCSD16_NYC_18	NA	NODE_39291_length_519_cov_1.635776	99	518	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	140	267	52.43	100.00	140	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
gCSD16_NYC_18	NA	NODE_420_length_11857_cov_451.741400	10241	11068	-	blaOXA	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	276	276	100.00	97.83	276	WP_005245537.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-284	NA	NA
gCSD16_NYC_18	NA	NODE_4354_length_1523_cov_8.852180	1027	1404	+	blaI	penicillinase repressor BlaI	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	126	126	100.00	99.21	126	WP_001284656.1	penicillinase repressor BlaI	NA	NA
gCSD16_NYC_18	NA	NODE_4354_length_1523_cov_8.852180	3	1034	+	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	344	585	58.80	99.71	344	WP_001096392.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
gCSD16_NYC_18	NA	NODE_4822_length_1433_cov_3.380261	272	1432	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	PARTIAL_CONTIG_ENDX	387	487	79.47	100.00	387	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
gCSD16_NYC_18	NA	NODE_5105_length_1388_cov_3.920480	683	1387	-	blaADC	ADC family extended-spectrum class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	PARTIAL_CONTIG_ENDX	235	383	61.36	100.00	235	WP_001211199.1	extended-spectrum class C beta-lactamase ADC-243	NA	NA
